,importance,stddev,p_value,n,p99_high,p99_low
price_vs_support_30d,0.31189749847467974,0.010438363289075275,1.5031939107889747e-07,5,0.3333902327603985,0.290404764188961
price_change,0.012568639414276994,0.0010209396296937895,5.1786591233235455e-06,5,0.014670768222701766,0.010466510605852223
ma_distance_3d,0.007443563148261179,0.0010025428142254808,3.8551165232215995e-05,5,0.009507812659365691,0.005379313637156667
rsi,0.004881025015253226,0.0015555276124443846,0.0010864560013587015,5,0.008083877868952608,0.0016781721615538453
sr_position_21d,0.0013422818791946733,0.000668361876150343,0.005449849284797584,5,0.0027184482199310613,-3.3884461541714437e-05
pct_change_21d,0.0013422818791946288,0.0002728575933496225,0.00019408566924713211,5,0.0019040994351942203,0.0007804643231950374
sr_position_30d,0.001220256253813301,0.0004314257359283704,0.0015991010761680828,5,0.002108567807027173,0.0003319447005994291
pct_change_7d,0.0012202562538132788,0.0,0.5,5,0.0012202562538132788,0.0012202562538132788
ma_distance_30d,0.0009762050030506231,0.0005457151866991456,0.008065044950046259,5,0.0020998401150496013,-0.00014743010894835516
pct_change_14d,0.0009762050030506231,0.0003341809380751411,0.001418922963367223,5,0.0016642881734187543,0.0002881218326824919
future_return_30d,0.0008541793776692952,0.0005457151866991456,0.012448081730111362,5,0.0019778144896682734,-0.00026945573432968304
volatility_21d,0.0006101281269066394,0.0,0.5,5,0.0006101281269066394,0.0006101281269066394
price_vs_support_21d,0.0006101281269066394,0.0,0.5,5,0.0006101281269066394,0.0006101281269066394
volatility_3d,0.0006101281269066394,0.0,0.5,5,0.0006101281269066394,0.0006101281269066394
price_vs_support_3d,0.0006101281269066394,0.0,0.5,5,0.0006101281269066394,0.0006101281269066394
resistance_30d,0.00036607687614398365,0.0003341809380751411,0.035241998455109974,5,0.0010541600465121149,-0.00032200629422414755
sr_position_14d,0.00036607687614398365,0.0003341809380751411,0.035241998455109974,5,0.0010541600465121149,-0.00032200629422414755
future_return_7d,0.00024405125076265577,0.0003341809380751411,0.08890390417811055,5,0.000932134421130787,-0.00044403191960547543
ma_7,0.00024405125076265577,0.0005457151866991456,0.18695048315002946,5,0.001367686362761634,-0.0008795838612363225
volatility_14d,0.00024405125076265577,0.0003341809380751411,0.08890390417811055,5,0.000932134421130787,-0.00044403191960547543
ma_14d,0.00012202562538132788,0.0002728575933495728,0.18695048315002946,5,0.000683843181380817,-0.00043979193061816123
support_21d,0.0,0.0,0.5,5,0.0,0.0
resistance_21d,0.0,0.0,0.5,5,0.0,0.0
ma_21d,0.0,0.0,0.5,5,0.0,0.0
navpu_value,0.0,0.0,0.5,5,0.0,0.0
ma_distance_21d,0.0,0.0,0.5,5,0.0,0.0
price_vs_resistance_21d,0.0,0.0,0.5,5,0.0,0.0
ma_trend_21d,0.0,0.0,0.5,5,0.0,0.0
pct_change_30d,0.0,0.0007472512943206632,0.5,5,0.0015386007431167103,-0.0015386007431167103
ma_trend_14d,0.0,0.0,0.5,5,0.0,0.0
support_30d,0.0,0.0,0.5,5,0.0,0.0
volatility_30d,0.0,0.0,0.5,5,0.0,0.0
price_vs_resistance_30d,0.0,0.0,0.5,5,0.0,0.0
ma_30d,0.0,0.0,0.5,5,0.0,0.0
support_14d,0.0,0.0,0.5,5,0.0,0.0
resistance_7d,0.0,0.0,0.5,5,0.0,0.0
support_7d,0.0,0.0,0.5,5,0.0,0.0
ma_30,0.0,0.0,0.5,5,0.0,0.0
pct_change_3d,0.0,0.0,0.5,5,0.0,0.0
ma_3d,0.0,0.0,0.5,5,0.0,0.0
support_3d,0.0,0.0,0.5,5,0.0,0.0
resistance_3d,0.0,0.0,0.5,5,0.0,0.0
price_vs_resistance_3d,0.0,0.0,0.5,5,0.0,0.0
ma_trend_3d,0.0,0.0,0.5,5,0.0,0.0
ma_7d,0.0,0.0,0.5,5,0.0,0.0
ma_trend_30d,0.0,0.0,0.5,5,0.0,0.0
price_vs_support_14d,0.0,0.0,0.5,5,0.0,0.0
ma_distance_7d,0.0,0.0,0.5,5,0.0,0.0
sr_position_7d,0.0,0.0,0.5,5,0.0,0.0
volatility_7d,0.0,0.0,0.5,5,0.0,0.0
price_vs_support_7d,0.0,0.0,0.5,5,0.0,0.0
price_vs_resistance_7d,0.0,0.0,0.5,5,0.0,0.0
ma_trend_7d,0.0,0.0,0.5,5,0.0,0.0
resistance_14d,0.0,0.0,0.5,5,0.0,0.0
ma_distance_14d,0.0,0.0,0.5,5,0.0,0.0
price_vs_resistance_14d,-0.00036607687614398365,0.0003341809380751411,0.96475800154489,5,0.00032200629422414755,-0.0010541600465121149
