,model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,0.9908536585365854,accuracy,0.005527019500732422,0.8356819152832031,0.0,0.3726935386657715,2,True,14
1,LightGBM,0.9908536585365854,accuracy,0.005527019500732422,0.46298837661743164,0.005527019500732422,0.46298837661743164,1,True,4
2,CatBoost,0.9878048780487805,accuracy,0.0014719963073730469,1.6567859649658203,0.0014719963073730469,1.6567859649658203,1,True,7
3,LightGBMLarge,0.9878048780487805,accuracy,0.00657343864440918,1.0510098934173584,0.00657343864440918,1.0510098934173584,1,True,13
4,LightGBMXT,0.9847560975609756,accuracy,0.005080461502075195,0.5595109462738037,0.005080461502075195,0.5595109462738037,1,True,3
5,RandomForestGini,0.9847560975609756,accuracy,0.045027732849121094,0.41158461570739746,0.045027732849121094,0.41158461570739746,1,True,5
6,RandomForestEntr,0.9847560975609756,accuracy,0.05059552192687988,0.33196544647216797,0.05059552192687988,0.33196544647216797,1,True,6
7,XGBoost,0.9817073170731707,accuracy,0.0030083656311035156,0.37567734718322754,0.0030083656311035156,0.37567734718322754,1,True,11
8,NeuralNetFastAI,0.9817073170731707,accuracy,0.0064847469329833984,1.5237441062927246,0.0064847469329833984,1.5237441062927246,1,True,10
9,ExtraTreesEntr,0.975609756097561,accuracy,0.04796147346496582,0.31212687492370605,0.04796147346496582,0.31212687492370605,1,True,9
10,ExtraTreesGini,0.9725609756097561,accuracy,0.046633005142211914,0.3241281509399414,0.046633005142211914,0.3241281509399414,1,True,8
11,NeuralNetTorch,0.9664634146341463,accuracy,0.010150909423828125,2.646914005279541,0.010150909423828125,2.646914005279541,1,True,12
12,KNeighborsDist,0.9512195121951219,accuracy,0.014159202575683594,0.010474920272827148,0.014159202575683594,0.010474920272827148,1,True,2
13,KNeighborsUnif,0.9512195121951219,accuracy,1.417306900024414,1.0039632320404053,1.417306900024414,1.0039632320404053,1,True,1
